what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729904990420
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729904990469
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1729905017775
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729905040165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729905043993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729905048823
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1729905052428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729905202818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729905407530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729905410607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729905422378
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729905423198
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1729905428604
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729905429452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729905432430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729905644248
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729905653747
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1729905655737
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729905655794
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1729905656188
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1729905656763
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1730250309411
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1730250309411
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1730250309411
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1730250309411
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1730250309411
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1730250309411
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1730250309411
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1730250309411
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1730250309411
